id,d00,d01,d02,d03,d04,d05,d06,d07,d08,d09,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20,d21,d22,d23
resume_0028,8.616585,7.606622,9.152971,-7.683044,-0.882250,7.088976,2.301370,-6.164161,2.818830,7.721384,9.533333,-7.160731,0.100489,-3.715817,-3.698138,2.104496,-7.038059,8.305585,6.530781,-2.183986,-6.675729,-5.132755,1.547129,5.556529
resume_0029,-7.047195,-1.397894,5.630052,-8.365844,-9.200106,1.196619,-0.355791,-1.172193,5.653368,5.019254,0.204029,3.109853,-6.267270,-8.214357,9.396088,-0.200187,2.130872,-6.369640,-2.192268,-3.729926,-5.711421,-9.458217,7.030653,6.680486
resume_0030,9.819343,7.200502,-5.743511,8.967447,-1.498924,9.445656,-5.225620,-4.586436,8.140037,-6.856684,-0.046492,-2.708708,6.645776,-9.818471,-8.028485,0.220611,4.492130,-6.794843,2.228622,-3.309039,4.101917,0.181811,-4.380496,0.259151
resume_0031,5.976718,-2.623472,5.151989,3.586937,-1.037205,2.342938,-8.065511,5.564045,-8.102668,-4.183444,1.260364,-6.326930,-7.449067,5.076137,-0.306888,-8.107967,0.370789,4.893654,-5.930246,8.548696,-9.999280,-1.329511,3.022060,9.156409
resume_0032,5.273163,4.204771,1.760395,8.083470,-3.906581,-5.299568,6.134606,-6.031074,3.558995,1.456946,-3.003824,-1.290636,0.955079,6.933505,-5.787891,-0.865144,-4.718168,-7.715646,-9.314215,-8.125212,-3.387031,5.265343,-7.857604,6.396743
resume_0033,-7.101052,-0.717540,5.390301,-8.473660,-8.825240,1.196670,-1.730147,-0.286434,4.739052,3.871387,-0.053783,2.098124,-6.281981,-7.670194,8.756629,-0.411107,2.494153,-5.600946,-2.349247,-5.366263,-4.837073,-9.123803,6.978819,7.700600
resume_0034,-6.998080,-0.433190,4.292788,-6.843371,-9.115402,1.542910,-0.405891,-0.493789,5.720042,3.966444,0.298794,1.852681,-7.706759,-7.874632,8.795224,-1.742508,1.548319,-4.862872,-3.259560,-4.559188,-4.982886,-8.050647,6.832188,7.151044
resume_0035,-2.993578,8.095890,-9.368083,-0.119628,-2.757311,-2.090640,7.806448,-1.854860,-8.722064,2.867066,0.404541,-2.673553,6.090916,-0.526615,-2.695031,8.357855,-1.987232,5.725186,2.579624,1.486450,10.205534,8.816062,-11.004317,2.469294
resume_0036,5.549575,6.061574,1.319713,8.357030,-4.422811,-6.177713,4.970666,-6.116255,3.330500,0.916318,-1.531128,-1.910596,1.502421,8.579570,-5.441037,0.383883,-5.576214,-6.746615,-8.808617,-8.156506,-4.153326,4.936541,-8.316048,6.915578
resume_0037,-6.946717,-0.336337,4.776650,-9.156738,-8.631230,2.172392,-0.666863,-1.587897,5.475247,4.007597,0.590260,2.690837,-8.778116,-8.694297,9.383709,-0.928477,0.910154,-6.552844,-2.310458,-4.604365,-5.066289,-9.044983,6.823691,8.340172
resume_0038,10.130191,6.801806,-4.351741,9.615114,-1.677693,9.524091,-6.207176,-4.355670,9.606848,-6.810637,0.054951,-2.794360,7.707530,-8.631982,-8.610740,0.167267,5.334111,-8.836169,1.735878,-2.379003,5.625982,-1.283945,-4.617362,0.268416
resume_0039,-7.529858,-8.343475,8.741861,2.191330,-7.741996,5.049210,-7.694337,-5.648802,1.291613,-3.072317,-2.467609,3.891582,-1.937746,4.017413,4.149267,-5.917870,-0.449017,3.409208,1.594927,-0.100308,10.007599,7.764098,0.257461,8.525599
resume_0040,5.031382,4.586496,1.575348,8.469317,-3.965016,-5.847252,5.199366,-7.067521,3.279218,1.727615,-2.052740,-1.403144,1.212265,7.404651,-6.726776,0.211719,-5.480032,-7.658560,-8.765747,-7.493646,-3.923195,4.991711,-8.595732,6.961306
resume_0041,6.722086,-3.083077,5.090121,3.690725,-1.185328,1.563036,-6.306263,6.005136,-9.769055,-4.713135,1.621806,-7.089728,-5.909233,5.670518,0.403418,-7.584658,-0.017846,4.737169,-6.214378,7.166621,-9.511875,-1.237825,1.859332,8.336431
resume_0042,9.006552,7.881992,8.459862,-7.588398,-1.067114,7.045710,1.761018,-6.009090,0.653661,6.732355,9.661502,-8.915456,-0.501107,-3.785403,-5.347522,1.904876,-7.360008,8.202832,7.181430,-2.419840,-6.910316,-4.363102,1.850671,6.153671
resume_0043,-7.320516,0.404681,5.155219,-8.073650,-9.279078,0.666855,-0.431379,-1.467742,5.184589,3.292700,-0.258920,2.739821,-7.277739,-7.129501,9.812659,-0.411823,2.421232,-5.183339,-2.044226,-4.734620,-6.143660,-9.100441,6.372110,7.784778
resume_0044,8.912825,7.578771,8.429586,-7.962437,-0.363327,6.022640,1.861904,-7.274267,1.970762,8.526263,9.252617,-7.921321,0.827828,-4.048629,-5.310999,1.252872,-6.812663,7.875487,4.576042,-4.060455,-6.459917,-5.010850,1.800092,4.807035
resume_0045,10.430925,6.442858,8.116468,-9.188383,-0.985873,7.589283,1.946739,-5.678919,1.208438,7.490284,9.936901,-7.436421,-0.777886,-3.495854,-5.316090,2.984712,-6.672810,7.988903,5.557480,-3.429369,-7.515106,-4.251984,1.335182,4.597068
resume_0046,6.218985,-3.777371,3.997572,3.500791,-1.446819,2.937096,-6.986130,5.441592,-9.190237,-4.421760,1.456770,-6.952273,-6.585378,5.222787,-0.564986,-7.998192,-0.353386,4.212183,-5.359618,7.444935,-9.965492,-1.484046,2.496299,8.629785
resume_0047,-2.496817,7.334975,-7.208265,-1.162053,-1.451956,-1.405765,7.920148,-1.073066,-7.623701,1.980723,1.787118,-3.011361,6.451037,-1.475095,-2.385912,8.202184,-2.210940,5.453945,2.276105,0.855265,9.953152,9.735860,-8.873604,2.047756
resume_0048,11.318760,8.274911,-5.851530,8.098687,-1.501384,8.437296,-5.967733,-4.689771,9.140994,-7.149064,-0.061067,-2.182480,7.834396,-8.428556,-7.304422,0.556587,5.104576,-6.324331,1.304478,-1.089578,5.193540,-1.605438,-5.347948,0.855674
resume_0049,-6.530890,-1.413597,4.614434,-8.666095,-9.073265,1.483853,-1.498220,-0.091541,5.330927,3.048474,0.666794,2.333842,-6.946746,-8.481143,9.288510,-1.418567,2.338365,-5.386923,-1.886640,-4.028412,-5.706954,-10.077011,6.937734,8.297537
resume_0050,-1.696766,8.083869,-8.392573,-0.495889,-3.105954,-1.693209,9.272040,-2.018661,-8.250934,3.364869,2.264082,-2.394668,6.752249,-0.596442,-2.872255,7.594647,-2.836610,5.295548,2.462653,0.240646,8.863054,8.573876,-10.184490,1.721652
resume_0051,5.777394,4.500346,2.331897,7.651051,-5.549647,-6.447450,6.358650,-5.962456,3.868337,1.751033,-2.635852,-1.837353,1.706497,7.925896,-5.402710,-0.355070,-5.151720,-7.608508,-8.683966,-9.354972,-2.744472,4.602846,-7.447284,6.326651
resume_0052,-2.103892,7.101501,-7.913893,-1.185038,-1.180776,-1.624208,7.810074,-1.174792,-7.553323,2.391489,1.621984,-2.622299,6.883172,1.037441,-2.691216,7.514227,-2.179360,6.030105,2.909696,0.255079,9.140944,8.819016,-9.377600,2.662633
resume_0053,-7.178298,-2.143672,3.926295,-6.772236,-8.924417,0.209000,-0.792680,-0.143611,3.994081,3.962940,0.707056,2.175007,-7.129734,-8.007928,8.759589,0.097025,2.959169,-5.597460,-2.566448,-4.242517,-4.497993,-8.839694,7.287125,7.327398
resume_0054,-2.158732,7.978910,-7.412189,-1.355816,-2.198743,0.220686,8.672747,-1.403505,-8.366886,2.274626,2.309165,-2.665920,6.924659,-0.916245,-1.023759,7.168519,-2.264539,5.169152,2.066632,-0.103802,8.882078,8.637556,-9.247717,1.895049
resume_0055,-2.055247,6.235118,-7.868833,-1.726136,-3.021745,-1.530082,7.702514,-1.719112,-6.744489,2.500931,2.678723,-2.363964,6.935666,0.332708,-2.220337,8.958432,-1.858147,6.000428,2.897023,-0.015447,9.708204,9.348556,-10.045394,1.751111
resume_0056,-8.647964,-0.611382,4.879628,-7.041451,-8.615889,0.933200,-0.712808,0.350883,5.037173,2.080670,-0.238293,2.011132,-6.831109,-6.429734,8.046236,-0.067400,2.433748,-5.683887,-1.763687,-4.903844,-5.815268,-10.587357,6.977180,6.879176
resume_0057,-7.111736,-8.376884,7.620995,1.871911,-6.933061,3.185654,-6.238277,-5.994804,0.625671,-2.790277,-3.691087,4.941026,-1.556717,4.395578,3.083105,-5.984060,-0.262983,2.675175,1.430251,-0.557412,10.358486,7.457849,0.540306,6.774215
resume_0058,-8.527942,-8.001893,8.981094,2.638722,-8.159926,3.114830,-7.949021,-6.748061,0.515386,-3.409413,-3.583624,4.914357,-1.719093,3.637558,4.135676,-4.794590,-1.818925,3.254321,2.080224,-1.366403,9.043581,8.181139,-0.880099,8.204117
resume_0059,-7.985879,-8.627431,7.831252,2.297522,-8.130530,3.404643,-6.110792,-6.897531,1.271348,-3.986152,-4.269807,4.055141,-1.394975,4.758720,3.488447,-6.380869,-0.094569,3.582020,1.370021,-0.991285,9.477406,7.198286,-0.458263,8.499320
resume_0060,-8.367494,-1.803837,3.408472,-9.124165,-6.980573,1.240563,0.357448,-0.443405,6.026738,3.696039,0.489202,1.538542,-6.483124,-7.248387,8.648828,-0.353611,1.353571,-5.327802,-2.241490,-4.185620,-5.889479,-8.251658,7.336283,7.884971
resume_0061,-6.852881,8.166234,-3.473560,7.018410,-2.467702,-2.944776,6.849000,-3.689229,0.719098,9.396458,10.403390,1.819520,9.369958,6.749844,-6.824174,-8.069096,-0.019004,3.745314,6.819048,-8.162170,-5.111536,2.542412,4.212995,-0.637283
resume_0062,-2.431346,8.282100,-6.518295,-0.901199,-1.741871,-1.982746,9.277554,-1.341492,-8.382730,2.397005,1.646187,-2.722125,5.346305,-1.587981,-1.733683,6.565006,-2.185704,5.372146,1.858517,1.281781,9.426832,8.741101,-8.273802,1.722372
resume_0063,8.573870,7.030992,8.321567,-8.270813,-2.354866,7.823711,1.444792,-6.699593,1.870060,7.859198,9.069480,-7.468476,-0.003146,-2.942965,-4.212373,1.604042,-6.925381,7.650592,4.880000,-1.896748,-6.387852,-5.076695,2.337252,6.382319
resume_0064,6.078870,4.721407,0.442410,7.806053,-5.047594,-5.478601,7.114220,-6.257204,3.077078,1.689196,-2.208241,-1.966149,2.127060,7.479069,-7.052517,-0.128560,-4.671542,-7.174063,-8.465230,-7.103680,-3.621001,5.420876,-7.290937,7.796283
resume_0065,-6.769723,-0.688856,4.720482,-7.526790,-8.067472,0.493518,-0.451653,-0.387427,4.515018,3.591874,0.482870,1.649582,-6.515512,-7.621373,7.324666,-0.701066,1.062757,-6.999842,-1.327839,-4.168868,-4.396030,-8.424309,8.159107,7.670112
resume_0066,-7.086733,-0.736568,3.937377,-7.606111,-9.386183,1.169870,-0.757358,-0.427528,5.140122,2.442307,0.770721,1.104438,-6.023022,-7.991612,8.783260,-0.583412,1.992862,-5.501445,-2.342340,-4.398434,-4.961521,-9.138355,6.701308,7.870588
resume_0067,9.709874,7.032069,-6.288535,10.162466,-2.280865,9.105743,-5.876879,-4.072901,8.380970,-8.597403,0.052916,-2.564505,6.616647,-8.917141,-8.284192,-0.480268,5.090396,-7.004040,1.945932,-1.624044,5.053856,-1.426657,-4.807012,-0.961567
resume_0068,-3.301916,7.846806,-7.588717,0.004511,-2.866477,-1.556004,8.688091,-2.680971,-8.054403,2.684299,1.917568,-3.002614,6.792429,-0.052721,-2.039810,7.253918,-1.724429,6.201713,1.871263,-0.111304,9.756238,8.159567,-9.970801,2.441229
resume_0069,5.273059,4.966720,1.895261,7.626841,-4.049789,-6.395066,6.670301,-6.393045,3.206458,1.292710,-1.922687,-1.073513,-0.253745,7.667358,-7.427175,1.422407,-5.384302,-6.676322,-8.598344,-7.962203,-3.282299,5.231128,-8.696162,6.490954
resume_0070,5.291956,4.422754,2.615997,7.664309,-4.102933,-5.683385,6.161735,-6.922950,4.100370,1.995890,-3.005463,-2.185505,0.860796,7.200631,-6.706476,-0.303493,-5.140171,-7.471873,-10.119667,-8.435702,-3.292675,4.592278,-8.238896,7.282567
resume_0071,-7.035599,-9.044595,8.787121,1.624586,-6.970710,4.717513,-7.548922,-5.232514,1.672564,-5.006846,-2.886093,3.414025,-1.335769,4.402367,3.237619,-5.743253,-0.784021,2.866826,1.986158,-1.098406,9.410189,6.948955,0.458029,7.597980
resume_0072,-6.869176,9.023996,-3.018378,6.535265,-3.015385,-2.941778,6.603572,-3.915496,1.063908,8.475857,8.758176,3.210201,7.908524,7.448068,-7.952626,-9.411383,-0.816904,3.657738,7.302458,-8.275432,-3.961014,3.358966,4.634775,-0.933929
resume_0073,-7.079138,-0.442481,5.088614,-8.762494,-9.743407,1.539733,-0.031845,0.140823,6.976380,2.763071,-0.157476,1.975299,-7.577736,-7.581010,8.729745,-0.612820,1.746606,-5.435246,-2.139151,-4.138357,-5.885478,-9.992588,7.565735,7.576408
resume_0074,5.585537,-3.925318,4.903164,3.439191,-1.896371,2.304885,-7.258299,5.516155,-9.104297,-4.360514,1.177261,-5.788060,-6.162143,4.010573,-0.868589,-8.122832,1.055162,4.050074,-7.425904,6.462157,-9.932263,-0.233615,1.710770,8.549717
resume_0075,5.959939,4.968713,0.690380,8.308122,-4.406650,-6.573470,5.894236,-6.059081,3.656163,0.346258,-2.865051,-1.139459,1.423347,7.541028,-6.382224,-0.280062,-5.565142,-7.829138,-9.541593,-7.113335,-3.700081,4.616865,-9.058254,6.528664
resume_0076,4.746184,4.749315,2.169967,9.587262,-3.651782,-5.631988,7.154370,-8.582374,3.491508,1.814942,-1.982280,-1.971408,1.428446,8.707024,-5.105520,-0.217109,-5.226933,-7.780303,-10.498414,-7.462138,-3.381803,3.980089,-7.140583,6.194796
resume_0077,-8.118485,-7.771094,8.942302,2.766498,-7.688270,2.898500,-8.375290,-5.369900,1.379381,-3.537842,-3.049812,3.601955,0.265459,3.915132,3.881978,-5.585206,-0.079861,3.344588,1.403786,-1.361596,8.953998,7.504904,0.138331,7.979417
resume_0078,-7.724484,-9.688538,8.996919,2.462604,-7.103739,3.887167,-6.966564,-5.641926,0.505541,-3.756938,-2.751453,3.918107,-0.699190,4.502685,3.112513,-5.279184,-0.347369,3.326928,1.877291,-0.884809,10.089752,6.658306,0.387475,7.796458
resume_0079,8.570007,6.752625,8.305988,-8.458282,-1.549375,7.834642,1.894379,-5.373519,2.125680,7.895099,8.202801,-8.399857,-1.324253,-4.108623,-4.733484,2.918074,-8.145131,7.877901,5.873563,-3.093736,-6.606509,-5.777376,1.851312,5.895247
resume_0080,8.147722,7.552865,7.859771,-7.350009,-1.173039,7.732789,2.462047,-5.354949,0.808866,7.313901,8.200583,-8.253896,-0.804673,-3.208793,-4.999379,2.382078,-6.169191,7.510217,5.741736,-3.035151,-5.920992,-4.510513,1.794196,5.055325
resume_0081,8.101681,7.122610,7.661556,-7.994755,-0.358457,6.970669,2.194076,-5.527879,2.201935,6.988111,9.459702,-8.952000,0.613890,-3.094282,-5.298626,1.906000,-6.504260,7.218721,6.088976,-1.910172,-6.815733,-4.822379,2.103821,5.361915
resume_0082,6.293986,-3.177425,4.011850,1.956204,-1.576295,3.188255,-6.720518,5.284636,-9.475282,-5.875083,1.574056,-7.172966,-6.377270,4.338335,-0.263013,-8.310284,0.707778,3.814829,-5.938011,6.196611,-10.395040,-0.672373,2.065737,8.376949
resume_0083,-1.753784,7.748266,-6.414381,-0.371442,-2.540002,-2.076356,7.729644,-0.847324,-8.378423,1.684711,2.325109,-2.942209,6.368146,0.141176,-2.045507,8.480353,-3.074914,6.388704,2.489864,-0.068496,10.290355,8.132752,-9.697316,2.609863
resume_0084,9.766519,8.043570,-5.635602,10.533401,-2.029821,9.081289,-4.173601,-3.112347,9.257747,-6.873498,0.044657,-3.047682,7.918937,-9.070777,-9.302829,-0.745606,4.297296,-7.367112,2.311998,-2.909215,4.914555,-0.217148,-4.252522,0.418648
resume_0085,5.431922,4.327300,1.584523,8.871088,-4.972022,-7.218587,5.458084,-6.005431,3.129822,1.586452,-2.402633,-2.458946,1.110778,7.643282,-7.189150,-0.733195,-4.955648,-7.752939,-8.692436,-6.948145,-3.926670,5.274362,-8.444788,7.054548
resume_0086,-7.460511,-8.448350,9.312110,2.979001,-8.179078,3.169523,-6.940973,-6.188913,1.467418,-3.443439,-2.648339,4.818720,-1.247308,5.496656,3.646157,-6.442096,-0.147753,2.524522,1.853888,-1.082932,10.336772,8.166573,-0.021209,7.946082
resume_0087,-7.723696,10.258020,-2.750239,7.630620,-1.439959,-3.553426,6.293961,-3.843631,1.836262,8.485365,9.903319,2.339599,7.030893,6.272269,-7.701132,-8.893284,0.387609,3.357584,7.080525,-8.773436,-5.073462,3.257430,4.490908,0.481300
resume_0088,9.555084,6.077923,-4.468873,9.021883,-1.740735,9.184511,-4.999515,-3.892143,9.826436,-7.562718,1.342191,-1.937227,6.476611,-7.769501,-7.459973,-0.604071,5.377757,-7.275035,2.526808,-3.046633,4.544746,-0.852931,-4.459356,-0.085259
resume_0089,-7.395111,-0.826318,4.530829,-8.645553,-7.079740,1.439174,-0.654785,0.177119,5.458747,3.899158,-0.323708,2.792395,-7.821306,-8.187437,8.172322,-0.040193,2.136912,-5.990941,-1.880489,-4.122853,-5.184807,-9.670607,7.328570,7.164391
resume_0090,-6.557466,-8.572326,8.696439,2.081095,-7.546071,3.452057,-6.967238,-6.493242,1.375940,-4.444336,-3.363002,5.293879,-1.057992,4.637064,2.445059,-7.623989,0.143218,3.804554,2.085118,0.157988,9.612652,6.462288,-1.199907,8.580438
resume_0091,8.811347,7.432363,8.112009,-7.591462,-0.685165,6.399947,2.564857,-5.964683,1.141314,7.324624,9.804963,-8.311177,0.290860,-3.216921,-4.059722,1.482777,-6.578831,8.391243,6.040738,-3.101153,-7.828315,-5.060387,2.896913,5.298060
resume_0092,5.460435,5.523156,2.312061,8.535745,-4.456894,-6.900859,5.443793,-5.771441,3.822410,2.439079,-2.481747,-1.679809,0.753441,7.000596,-5.841553,0.370740,-5.108349,-7.293320,-9.218349,-7.432738,-2.917169,3.655327,-8.156980,5.658781
resume_0093,5.505781,4.907628,1.750331,9.111693,-4.554359,-5.628372,5.139912,-6.645532,2.921251,1.146372,-2.123351,-1.897313,1.175002,7.721624,-6.018831,0.961427,-4.816689,-7.572286,-9.942574,-7.667504,-3.675316,5.155086,-7.791884,5.966018
resume_0094,-8.596776,-8.562943,8.378416,1.268868,-7.259127,3.082393,-6.831981,-4.858343,1.281474,-3.363871,-2.898721,3.853073,-2.338787,5.374587,3.953839,-5.458747,-1.448866,3.249505,0.776566,-0.561540,9.218369,6.615603,0.606026,8.007459
resume_0095,9.087466,6.899423,8.040583,-6.980957,-0.708283,6.038904,2.057937,-5.304046,0.642087,5.536944,9.441326,-7.932919,0.060973,-2.488128,-4.695306,1.377513,-6.814704,8.558925,4.169221,-2.180731,-6.336112,-4.240405,0.577867,6.175641
resume_0096,6.099215,4.591582,2.874954,8.438751,-4.956979,-6.762310,6.154639,-6.112999,3.375672,1.720382,-1.732589,-1.575358,1.571815,7.554041,-6.676093,0.980687,-4.579565,-7.470352,-10.873296,-8.229395,-4.147430,5.543658,-8.008964,7.115568
resume_0097,-7.821811,-8.531425,7.803653,2.208732,-8.397875,4.714027,-7.814144,-5.904255,1.183203,-4.019739,-3.477086,4.245931,-2.051974,4.665239,2.777756,-5.351842,-0.124839,3.256233,1.675410,0.225809,9.200317,7.329699,-0.956692,6.893043
resume_0098,8.308752,7.119796,10.156179,-7.908983,0.730696,7.404145,2.737607,-6.169900,1.275632,9.181218,8.896867,-8.181437,-1.254426,-2.716050,-4.911333,0.531280,-6.835794,7.564768,5.194985,-3.259869,-6.088582,-4.608661,1.949052,6.391185
resume_0099,-6.612602,-1.155419,5.750701,-8.511587,-8.377578,1.731986,-0.194025,-0.107300,4.133400,2.258692,1.175385,1.679480,-7.832210,-8.183351,8.384961,-0.588943,2.864387,-4.774988,-1.882604,-4.295951,-5.430019,-8.972680,6.435812,7.744906
