timestamp;process;event_type;details
2026-03-01T08:01:54;python3;logout;user=user_2706 ip=10.0.148.228
2026-03-01T08:01:55;postgres;net_conn;dst=192.168.80.215:15119 proto=udp
2026-03-01T08:01:56;bash;file_write;path=/tmp/cache.db pid=41951
2026-03-01T08:01:58;backup-agent;login;user=user_1584 ip=10.0.173.90
2026-03-01T08:02:00;nginx;logout;user=user_0648 ip=10.0.40.254
2026-03-01T08:02:03;nginx;file_read;path=/opt/app/config.yml pid=64391
2026-03-01T08:02:05;backup-agent;logout;user=user_8192 ip=10.0.182.243
2026-03-01T08:02:07;systemd;login;user=user_5773 ip=10.0.166.209
2026-03-01T08:02:10;python3;file_write;path=/var/log/syslog pid=11948
2026-03-01T08:02:13;bash;file_read;path=/tmp/cache.db pid=62171
2026-03-01T08:02:15;backup-agent;net_conn;dst=192.168.178.72:29944 proto=tcp
2026-03-01T08:02:17;python3;exec;cmd=/usr/sbin/logrotate pid=11593
2026-03-01T08:02:18;backup-agent;exec;cmd=/usr/sbin/logrotate pid=11841
2026-03-01T08:02:20;sshd;file_read;path=/opt/app/config.yml pid=25254
2026-03-01T08:02:23;postgres;file_write;path=/var/log/auth.log pid=22848
2026-03-01T08:02:24;python3;net_conn;dst=192.168.61.141:30773 proto=udp
2026-03-01T08:02:27;postgres;login;user=user_3226 ip=10.0.192.177
2026-03-01T08:02:29;sshd;net_conn;dst=192.168.244.188:58197 proto=tcp
2026-03-01T08:02:30;systemd;file_write;path=/etc/hosts pid=21953
2026-03-01T08:02:32;cron;net_conn;dst=192.168.139.58:14202 proto=tcp
2026-03-01T08:02:34;bash;net_conn;dst=192.168.122.107:15660 proto=tcp
2026-03-01T08:02:37;nginx;exec;cmd=/usr/sbin/logrotate pid=18155
2026-03-01T08:02:38;bash;login;user=user_9699 ip=10.0.5.240
2026-03-01T08:02:39;nginx;logout;user=user_3370 ip=10.0.8.195
2026-03-01T08:02:40;cron;file_read;path=/tmp/cache.db pid=11964
2026-03-01T08:02:41;cron;net_conn;dst=192.168.243.146:13675 proto=udp
2026-03-01T08:02:44;sshd;file_write;path=/opt/app/config.yml pid=44110
2026-03-01T08:02:46;backup-agent;file_read;path=/var/log/syslog pid=39500
2026-03-01T08:02:49;python3;file_write;path=/var/log/auth.log pid=55680
2026-03-01T08:02:50;systemd;exec;cmd=/usr/bin/top pid=64568
2026-03-01T08:02:53;bash;file_write;path=/tmp/cache.db pid=23451
2026-03-01T08:02:54;backup-agent;net_conn;dst=192.168.246.192:14594 proto=tcp
2026-03-01T08:02:55;backup-agent;file_write;path=/var/log/syslog pid=14164
2026-03-01T08:02:56;nginx;login;user=user_5562 ip=10.0.252.21
2026-03-01T08:02:58;postgres;net_conn;dst=192.168.141.181:51691 proto=udp
2026-03-01T08:03:01;postgres;file_read;path=/etc/hosts pid=45502
2026-03-01T08:03:02;backup-agent;file_write;path=/tmp/cache.db pid=64267
2026-03-01T08:03:03;sshd;exec;cmd=/usr/sbin/logrotate pid=4466
2026-03-01T08:03:05;postgres;net_conn;dst=192.168.46.83:47582 proto=udp
2026-03-01T08:03:08;systemd;exec;cmd=/usr/bin/ls pid=20265
2026-03-01T08:03:10;postgres;logout;user=user_4956 ip=10.0.191.61
2026-03-01T08:03:13;postgres;file_write;path=/home/user/report.txt pid=63621
2026-03-01T08:03:16;sshd;net_conn;dst=192.168.171.39:32108 proto=tcp
2026-03-01T08:03:18;python3;exec;cmd=/usr/bin/ls pid=22805
2026-03-01T08:03:19;nginx;login;user=user_1039 ip=10.0.61.96
2026-03-01T08:03:20;backup-agent;net_conn;dst=192.168.81.22:18504 proto=udp
2026-03-01T08:03:23;python3;file_read;path=/var/log/auth.log pid=48376
2026-03-01T08:03:26;backup-agent;logout;user=user_4056 ip=10.0.37.181
2026-03-01T08:03:28;bash;file_read;path=/opt/app/config.yml pid=16880
2026-03-01T08:03:29;sshd;exec;cmd=/usr/bin/ps pid=18521
2026-03-01T08:03:31;backup-agent;net_conn;dst=192.168.208.91:37782 proto=udp
2026-03-01T08:03:32;python3;logout;user=user_6685 ip=10.0.162.190
2026-03-01T08:03:34;python3;logout;user=user_0672 ip=10.0.162.249
2026-03-01T08:03:37;python3;exec;cmd=/usr/bin/python3 pid=21359
2026-03-01T08:03:40;cron;login;user=user_2416 ip=10.0.210.85
2026-03-01T08:03:41;cron;exec;cmd=/usr/sbin/logrotate pid=60376
2026-03-01T08:03:44;bash;net_conn;dst=192.168.176.65:10753 proto=tcp
2026-03-01T08:03:46;postgres;priv_esc;target=root method=sudo
2026-03-01T08:03:48;python3;exec;cmd=/usr/sbin/logrotate pid=14756
2026-03-01T08:03:50;sshd;file_read;path=/var/log/auth.log pid=59995
2026-03-01T08:03:51;cron;login;user=user_8649 ip=10.0.135.48
2026-03-01T08:03:53;nginx;login;user=user_4043 ip=10.0.221.84
2026-03-01T08:03:56;bash;logout;user=user_0680 ip=10.0.78.243
2026-03-01T08:03:58;cron;net_conn;dst=192.168.128.122:18950 proto=udp
2026-03-01T08:04:01;python3;net_conn;dst=192.168.83.253:20516 proto=udp
2026-03-01T08:04:03;nginx;file_read;path=/tmp/cache.db pid=45869
2026-03-01T08:04:06;python3;logout;user=user_6308 ip=10.0.244.243
2026-03-01T08:04:09;bash;login;user=user_0479 ip=10.0.244.108
2026-03-01T08:04:12;systemd;net_conn;dst=192.168.154.190:52252 proto=tcp
2026-03-01T08:04:15;systemd;logout;user=user_1064 ip=10.0.147.49
2026-03-01T08:04:16;bash;file_read;path=/etc/hosts pid=29189
2026-03-01T08:04:19;postgres;net_conn;dst=192.168.109.55:55000 proto=tcp
2026-03-01T08:04:22;systemd;exec;cmd=/usr/bin/python3 pid=22770
2026-03-01T08:04:25;backup-agent;file_read;path=/var/log/auth.log pid=63565
2026-03-01T08:04:28;bash;file_read;path=/tmp/cache.db pid=7650
2026-03-01T08:04:30;bash;net_conn;dst=192.168.115.43:26807 proto=udp
2026-03-01T08:04:33;postgres;exec;cmd=/usr/bin/ps pid=37070
2026-03-01T08:04:34;bash;logout;user=user_0426 ip=10.0.132.3
2026-03-01T08:04:35;backup-agent;logout;user=user_1771 ip=10.0.206.21
2026-03-01T08:04:37;nginx;login;user=user_2248 ip=10.0.216.253
2026-03-01T08:04:38;cron;file_read;path=/etc/hosts pid=48375
2026-03-01T08:04:39;python3;file_read;path=/etc/hosts pid=30030
2026-03-01T08:04:40;sshd;file_read;path=/home/user/report.txt pid=64233
2026-03-01T08:04:41;bash;exec;cmd=/usr/bin/rsync pid=49435
2026-03-01T08:04:43;postgres;exec;cmd=/usr/bin/rsync pid=4218
2026-03-01T08:04:45;bash;exec;cmd=/usr/bin/top pid=15808
2026-03-01T08:04:46;postgres;file_write;path=/opt/app/config.yml pid=12661
2026-03-01T08:04:48;postgres;logout;user=user_6731 ip=10.0.90.100
2026-03-01T08:04:51;cron;exec;cmd=/usr/bin/python3 pid=39274
2026-03-01T08:04:53;sshd;file_write;path=/opt/app/config.yml pid=57512
2026-03-01T08:04:56;postgres;logout;user=user_4711 ip=10.0.18.190
2026-03-01T08:04:58;postgres;logout;user=user_7598 ip=10.0.255.130
2026-03-01T08:04:59;postgres;logout;user=user_1085 ip=10.0.230.209
2026-03-01T08:05:02;backup-agent;file_read;path=/opt/app/config.yml pid=25024
2026-03-01T08:05:05;bash;net_conn;dst=192.168.151.56:56717 proto=tcp
2026-03-01T08:05:07;backup-agent;file_read;path=/tmp/cache.db pid=22747
2026-03-01T08:05:08;python3;login;user=user_3036 ip=10.0.19.129
2026-03-01T08:05:10;systemd;file_read;path=/etc/hosts pid=19317
2026-03-01T08:05:12;nginx;logout;user=user_3209 ip=10.0.42.156
2026-03-01T08:05:15;cron;login;user=user_8852 ip=10.0.118.125
2026-03-01T08:05:16;postgres;exec;cmd=/usr/bin/ls pid=28771
2026-03-01T08:05:17;cron;login;user=user_9735 ip=10.0.64.50
2026-03-01T08:05:19;nginx;login;user=user_2075 ip=10.0.136.228
2026-03-01T08:05:21;bash;login;user=user_3588 ip=10.0.94.137
2026-03-01T08:05:24;postgres;logout;user=user_4129 ip=10.0.190.99
2026-03-01T08:05:27;cron;login;user=user_6657 ip=10.0.74.1
2026-03-01T08:05:30;python3;login;user=user_7292 ip=10.0.38.157
2026-03-01T08:05:32;postgres;exec;cmd=/usr/bin/rsync pid=49312
2026-03-01T08:05:33;cron;net_conn;dst=192.168.140.241:38077 proto=udp
2026-03-01T08:05:35;postgres;net_conn;dst=192.168.133.125:60899 proto=udp
2026-03-01T08:05:36;nginx;exec;cmd=/usr/bin/ps pid=59182
2026-03-01T08:05:37;nginx;net_conn;dst=192.168.229.137:65344 proto=tcp
2026-03-01T08:05:39;systemd;net_conn;dst=192.168.237.130:18688 proto=udp
2026-03-01T08:05:42;postgres;file_read;path=/opt/app/config.yml pid=45662
2026-03-01T08:05:45;cron;exec;cmd=/usr/sbin/logrotate pid=25840
2026-03-01T08:05:47;python3;exec;cmd=/usr/bin/rsync pid=33568
2026-03-01T08:05:50;systemd;file_read;path=/var/log/syslog pid=45761
2026-03-01T08:05:51;sshd;login;user=user_7801 ip=10.0.211.212
2026-03-01T08:05:52;postgres;file_write;path=/etc/hosts pid=33394
2026-03-01T08:05:55;cron;file_read;path=/var/log/auth.log pid=35919
2026-03-01T08:05:58;python3;login;user=user_5526 ip=10.0.28.219
2026-03-01T08:06:01;sshd;exec;cmd=/usr/bin/rsync pid=9188
2026-03-01T08:06:04;backup-agent;logout;user=user_5207 ip=10.0.132.41
2026-03-01T08:06:06;postgres;file_read;path=/tmp/cache.db pid=13517
2026-03-01T08:06:08;backup-agent;logout;user=user_8834 ip=10.0.32.93
2026-03-01T08:06:10;systemd;logout;user=user_5702 ip=10.0.132.132
2026-03-01T08:06:11;sshd;net_conn;dst=192.168.62.25:44890 proto=udp
2026-03-01T08:06:13;nginx;file_write;path=/var/log/auth.log pid=24869
2026-03-01T08:06:14;backup-agent;exec;cmd=/usr/bin/python3 pid=47670
2026-03-01T08:06:16;systemd;file_read;path=/var/log/syslog pid=2641
2026-03-01T08:06:18;cron;net_conn;dst=192.168.3.146:50598 proto=tcp
2026-03-01T08:06:20;cron;logout;user=user_9336 ip=10.0.135.31
2026-03-01T08:06:22;systemd;net_conn;dst=192.168.112.101:20958 proto=udp
2026-03-01T08:06:24;sshd;exec;cmd=/usr/bin/top pid=50053
2026-03-01T08:06:26;python3;file_write;path=/tmp/cache.db pid=8597
2026-03-01T08:06:29;sshd;net_conn;dst=192.168.155.19:31302 proto=udp
2026-03-01T08:06:31;bash;logout;user=user_6281 ip=10.0.221.214
2026-03-01T08:06:34;systemd;login;user=user_3291 ip=10.0.64.110
2026-03-01T08:06:36;systemd;file_read;path=/home/user/report.txt pid=9697
2026-03-01T08:06:38;postgres;file_write;path=/tmp/cache.db pid=38628
2026-03-01T08:06:40;bash;exec;cmd=/usr/bin/ls pid=42267
2026-03-01T08:06:42;systemd;logout;user=user_1327 ip=10.0.186.12
2026-03-01T08:06:43;bash;net_conn;dst=192.168.119.253:5167 proto=udp
2026-03-01T08:06:46;sshd;file_write;path=/opt/app/config.yml pid=25554
2026-03-01T08:06:49;sshd;net_conn;dst=192.168.121.175:46339 proto=tcp
2026-03-01T08:06:50;sshd;login;user=user_6715 ip=10.0.70.41
2026-03-01T08:06:51;systemd;net_conn;dst=192.168.233.14:41408 proto=tcp
2026-03-01T08:06:52;python3;exec;cmd=/usr/sbin/logrotate pid=15196
2026-03-01T08:06:54;postgres;logout;user=user_7152 ip=10.0.88.195
2026-03-01T08:06:57;nginx;exec;cmd=/usr/sbin/logrotate pid=3014
2026-03-01T08:06:59;postgres;file_write;path=/home/user/report.txt pid=23433
2026-03-01T08:07:00;bash;file_read;path=/var/log/auth.log pid=27111
2026-03-01T08:07:01;backup-agent;file_write;path=/tmp/cache.db pid=5876
2026-03-01T08:07:03;systemd;exec;cmd=/usr/bin/python3 pid=2991
2026-03-01T08:07:06;postgres;file_write;path=/opt/app/config.yml pid=40588
2026-03-01T08:07:07;postgres;file_read;path=/etc/hosts pid=59033
2026-03-01T08:07:10;python3;exec;cmd=/usr/bin/ps pid=11115
2026-03-01T08:07:12;python3;exec;cmd=/usr/bin/ps pid=8922
2026-03-01T08:07:15;cron;priv_esc;target=root method=sudo
2026-03-01T08:07:16;postgres;file_write;path=/tmp/cache.db pid=44659
2026-03-01T08:07:17;nginx;net_conn;dst=192.168.158.109:61493 proto=udp
2026-03-01T08:07:18;sshd;login;user=user_9687 ip=10.0.75.38
2026-03-01T08:07:19;postgres;net_conn;dst=192.168.91.159:3744 proto=tcp
2026-03-01T08:07:20;sshd;net_conn;dst=192.168.100.105:43379 proto=tcp
2026-03-01T08:07:21;bash;login;user=user_9078 ip=10.0.56.198
2026-03-01T08:07:24;python3;exec;cmd=/usr/bin/rsync pid=57837
2026-03-01T08:07:27;bash;login;user=user_1237 ip=10.0.191.176
2026-03-01T08:07:30;python3;file_read;path=/var/log/syslog pid=50868
2026-03-01T08:07:33;nginx;net_conn;dst=192.168.226.149:24841 proto=udp
2026-03-01T08:07:36;sshd;file_read;path=/etc/hosts pid=3803
2026-03-01T08:07:39;python3;login;user=user_0907 ip=10.0.106.84
2026-03-01T08:07:40;postgres;logout;user=user_9292 ip=10.0.237.20
2026-03-01T08:07:43;postgres;logout;user=user_9083 ip=10.0.48.176
2026-03-01T08:07:45;sshd;net_conn;dst=192.168.227.161:55395 proto=tcp
2026-03-01T08:07:48;postgres;file_read;path=/var/log/syslog pid=28480
2026-03-01T08:07:50;sshd;file_write;path=/etc/hosts pid=27689
2026-03-01T08:07:51;sshd;net_conn;dst=192.168.60.145:44151 proto=tcp
2026-03-01T08:07:52;postgres;file_write;path=/home/user/report.txt pid=28732
2026-03-01T08:07:54;cron;file_read;path=/var/log/syslog pid=58628
2026-03-01T08:07:55;bash;exec;cmd=/usr/bin/ps pid=45134
2026-03-01T08:07:58;backup-agent;file_read;path=/var/log/auth.log pid=29144
2026-03-01T08:08:01;postgres;exec;cmd=/usr/sbin/logrotate pid=48490
2026-03-01T08:08:02;postgres;net_conn;dst=192.168.252.159:13948 proto=tcp
2026-03-01T08:08:04;backup-agent;login;user=user_4540 ip=10.0.134.228
2026-03-01T08:08:05;sshd;net_conn;dst=192.168.115.207:14073 proto=udp
2026-03-01T08:08:08;sshd;file_read;path=/tmp/cache.db pid=47507
2026-03-01T08:08:10;systemd;file_read;path=/etc/hosts pid=51588
2026-03-01T08:08:13;backup-agent;logout;user=user_2600 ip=10.0.158.243
2026-03-01T08:08:16;sshd;file_write;path=/var/log/syslog pid=2606
2026-03-01T08:08:17;nginx;logout;user=user_8397 ip=10.0.28.56
2026-03-01T08:08:20;sshd;logout;user=user_8313 ip=10.0.216.126
2026-03-01T08:08:21;bash;file_write;path=/var/log/syslog pid=31388
2026-03-01T08:08:22;postgres;file_read;path=/opt/app/config.yml pid=14340
2026-03-01T08:08:24;postgres;net_conn;dst=192.168.229.142:37468 proto=udp
2026-03-01T08:08:25;postgres;net_conn;dst=192.168.229.89:28769 proto=tcp
2026-03-01T08:08:26;postgres;net_conn;dst=192.168.187.62:61982 proto=udp
2026-03-01T08:08:29;nginx;file_write;path=/home/user/report.txt pid=32850
2026-03-01T08:08:31;nginx;exec;cmd=/usr/sbin/logrotate pid=26105
2026-03-01T08:08:33;sshd;login;user=user_2296 ip=10.0.34.130
2026-03-01T08:08:36;nginx;login;user=user_3282 ip=10.0.24.126
2026-03-01T08:08:37;backup-agent;exec;cmd=/usr/bin/ls pid=6159
2026-03-01T08:08:38;systemd;net_conn;dst=192.168.83.77:62410 proto=udp
2026-03-01T08:08:41;sshd;file_read;path=/var/log/auth.log pid=65005
2026-03-01T08:08:43;bash;exec;cmd=/usr/bin/rsync pid=57367
2026-03-01T08:08:46;bash;net_conn;dst=192.168.216.89:33894 proto=tcp
2026-03-01T08:08:47;systemd;logout;user=user_5873 ip=10.0.59.31
2026-03-01T08:08:48;sshd;logout;user=user_4832 ip=10.0.237.66
2026-03-01T08:08:51;python3;file_read;path=/etc/hosts pid=36059
2026-03-01T08:08:52;systemd;exec;cmd=/usr/bin/top pid=56980
2026-03-01T08:08:54;sshd;file_read;path=/etc/hosts pid=31456
2026-03-01T08:08:57;backup-agent;exec;cmd=/usr/sbin/logrotate pid=50426
2026-03-01T08:09:00;systemd;net_conn;dst=192.168.36.94:26115 proto=tcp
2026-03-01T08:09:02;backup-agent;net_conn;dst=192.168.72.247:57645 proto=tcp
2026-03-01T08:09:04;systemd;file_read;path=/tmp/cache.db pid=7739
2026-03-01T08:09:07;systemd;exec;cmd=/usr/sbin/logrotate pid=2195
2026-03-01T08:09:09;backup-agent;file_read;path=/etc/hosts pid=57441
2026-03-01T08:09:10;nginx;file_read;path=/var/log/auth.log pid=14042
2026-03-01T08:09:13;sshd;net_conn;dst=192.168.125.228:21880 proto=udp
2026-03-01T08:09:15;cron;net_conn;dst=192.168.172.240:19735 proto=udp
2026-03-01T08:09:17;postgres;file_read;path=/home/user/report.txt pid=2492
2026-03-01T08:09:18;systemd;net_conn;dst=192.168.72.17:65277 proto=udp
2026-03-01T08:09:20;nginx;login;user=user_3512 ip=10.0.52.69
2026-03-01T08:09:21;systemd;logout;user=user_1088 ip=10.0.22.102
2026-03-01T08:09:24;postgres;file_write;path=/etc/hosts pid=49544
2026-03-01T08:09:27;nginx;file_write;path=/var/log/auth.log pid=2062
2026-03-01T08:09:30;cron;net_conn;dst=192.168.57.47:60346 proto=tcp
2026-03-01T08:09:32;postgres;net_conn;dst=192.168.124.6:54539 proto=tcp
2026-03-01T08:09:35;python3;net_conn;dst=192.168.229.112:13796 proto=udp
2026-03-01T08:09:37;sshd;file_read;path=/opt/app/config.yml pid=36402
2026-03-01T08:09:38;cron;file_write;path=/opt/app/config.yml pid=4817
2026-03-01T08:09:41;systemd;file_write;path=/var/log/auth.log pid=9916
2026-03-01T08:09:44;postgres;exec;cmd=/usr/bin/rsync pid=51249
2026-03-01T08:09:46;backup-agent;net_conn;dst=192.168.88.209:60396 proto=udp
2026-03-01T08:09:49;cron;net_conn;dst=192.168.150.22:8405 proto=udp
2026-03-01T08:09:52;cron;exec;cmd=/usr/bin/top pid=55572
2026-03-01T08:09:53;sshd;login;user=user_8427 ip=10.0.223.178
2026-03-01T08:09:55;systemd;exec;cmd=/usr/bin/python3 pid=10891
2026-03-01T08:09:57;bash;exec;cmd=/usr/bin/python3 pid=38191
2026-03-01T08:09:58;bash;exec;cmd=/usr/bin/rsync pid=10820
2026-03-01T08:10:01;sshd;net_conn;dst=192.168.191.14:5761 proto=udp
2026-03-01T08:10:03;systemd;exec;cmd=/usr/bin/python3 pid=43507
2026-03-01T08:10:06;postgres;net_conn;dst=192.168.146.226:49619 proto=tcp
2026-03-01T08:10:07;nginx;login;user=user_7271 ip=10.0.104.103
2026-03-01T08:10:10;nginx;net_conn;dst=192.168.246.65:41442 proto=tcp
2026-03-01T08:10:11;cron;file_write;path=/var/log/syslog pid=9290
2026-03-01T08:10:14;cron;exec;cmd=/usr/bin/python3 pid=1472
2026-03-01T08:10:15;sshd;login;user=user_7225 ip=10.0.12.214
2026-03-01T08:10:16;backup-agent;file_read;path=/etc/hosts pid=17266
2026-03-01T08:10:18;python3;login;user=user_9862 ip=10.0.183.73
2026-03-01T08:10:20;nginx;exec;cmd=/usr/bin/ls pid=12848
2026-03-01T08:10:21;backup-agent;exec;cmd=/usr/bin/python3 pid=23697
2026-03-01T08:10:23;backup-agent;file_read;path=/var/log/auth.log pid=58634
2026-03-01T08:10:25;nginx;file_write;path=/etc/hosts pid=39656
2026-03-01T08:10:27;backup-agent;file_write;path=/var/log/syslog pid=11010
2026-03-01T08:10:29;bash;exec;cmd=/usr/bin/ps pid=4088
2026-03-01T08:10:31;postgres;file_read;path=/opt/app/config.yml pid=48005
2026-03-01T08:10:33;postgres;file_read;path=/var/log/auth.log pid=36865
2026-03-01T08:10:35;backup-agent;net_conn;dst=192.168.180.147:1145 proto=udp
2026-03-01T08:10:36;nginx;file_read;path=/tmp/cache.db pid=5010
2026-03-01T08:10:37;nginx;login;user=user_3330 ip=10.0.103.213
2026-03-01T08:10:40;cron;exec;cmd=/usr/bin/python3 pid=43545
2026-03-01T08:10:43;bash;exec;cmd=/usr/bin/ls pid=58094
2026-03-01T08:10:44;postgres;file_read;path=/etc/hosts pid=48783
2026-03-01T08:10:47;nginx;file_write;path=/home/user/report.txt pid=44872
2026-03-01T08:10:50;nginx;file_write;path=/etc/hosts pid=36724
2026-03-01T08:10:51;systemd;login;user=user_9801 ip=10.0.5.223
2026-03-01T08:10:54;nginx;exec;cmd=/usr/bin/rsync pid=28178
2026-03-01T08:10:56;backup-agent;net_conn;dst=192.168.235.219:40837 proto=udp
2026-03-01T08:10:59;nginx;file_write;path=/opt/app/config.yml pid=1773
2026-03-01T08:11:01;sshd;file_write;path=/tmp/cache.db pid=45918
2026-03-01T08:11:03;nginx;login;user=user_7649 ip=10.0.54.190
2026-03-01T08:11:04;postgres;logout;user=user_6967 ip=10.0.81.14
2026-03-01T08:11:06;backup-agent;exec;cmd=/usr/bin/top pid=57119
2026-03-01T08:11:08;python3;net_conn;dst=192.168.27.210:45219 proto=udp
2026-03-01T08:11:09;systemd;file_read;path=/tmp/cache.db pid=42872
2026-03-01T08:11:10;cron;net_conn;dst=192.168.111.246:31590 proto=tcp
2026-03-01T08:11:11;systemd;login;user=user_5376 ip=10.0.253.161
2026-03-01T08:11:12;cron;file_read;path=/home/user/report.txt pid=24340
2026-03-01T08:11:14;postgres;file_write;path=/home/user/report.txt pid=33959
2026-03-01T08:11:15;postgres;file_read;path=/var/log/auth.log pid=47579
2026-03-01T08:11:18;python3;login;user=user_5004 ip=10.0.82.131
2026-03-01T08:11:21;cron;exec;cmd=/usr/bin/rsync pid=29967
2026-03-01T08:11:23;cron;net_conn;dst=192.168.103.173:60015 proto=udp
2026-03-01T08:11:25;nginx;exec;cmd=/usr/sbin/logrotate pid=58749
2026-03-01T08:11:26;sshd;login;user=user_9719 ip=10.0.27.152
2026-03-01T08:11:27;postgres;file_read;path=/var/log/syslog pid=26941
2026-03-01T08:11:28;sshd;file_write;path=/tmp/cache.db pid=10528
2026-03-01T08:11:30;systemd;file_read;path=/var/log/syslog pid=3735
2026-03-01T08:11:32;nginx;logout;user=user_0578 ip=10.0.9.166
2026-03-01T08:11:34;cron;login;user=user_8530 ip=10.0.38.138
2026-03-01T08:11:36;python3;login;user=user_8453 ip=10.0.4.146
2026-03-01T08:11:38;cron;exec;cmd=/usr/bin/python3 pid=22288
2026-03-01T08:11:39;backup-agent;net_conn;dst=192.168.217.18:16564 proto=udp
2026-03-01T08:11:40;sshd;login;user=user_1933 ip=10.0.52.189
2026-03-01T08:11:43;systemd;file_write;path=/etc/hosts pid=39738
